127.0.0.1 - - [06/May/2024:11:09:39 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2024:11:09:43 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [06/May/2024:11:09:43 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:09:43 +0545] "GET /EvoXcw/stylesheets/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:09:43 +0545] "GET /EvoXcw/stylesheets/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:11:09:43 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:34 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:34 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:45 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 1919
0:0:0:0:0:0:0:1 - - [06/May/2024:11:11:45 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:07 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:07 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:43 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:43 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:43 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:43 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:44 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:44 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:58 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3282
0:0:0:0:0:0:0:1 - - [06/May/2024:11:12:58 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:13:26 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3281
0:0:0:0:0:0:0:1 - - [06/May/2024:11:13:26 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:14:16 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3135
0:0:0:0:0:0:0:1 - - [06/May/2024:11:14:16 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:14:55 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [06/May/2024:11:14:55 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:14:55 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [06/May/2024:11:14:56 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:15:08 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [06/May/2024:11:15:08 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:15:09 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [06/May/2024:11:15:09 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/May/2024:11:15:15 +0545] "GET /EvoXcw/index.jsp HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [06/May/2024:11:15:16 +0545] "GET /assets/logo.png HTTP/1.1" 404 770
